2,0,210.4928675,4
2,7,1561.9315425,4
6,11,480.7806025,3
3,0,210.4928675,5
6,12,480.7806025,5
4,0,210.4928675,3
6,0,480.7806025,1
3,11,751.0683375000001,1
3,10,480.7806025,6
3,11,1021.3560725000001,6
6,7,1832.2192774999999,1
5,10,480.7806025,3
6,7,480.7806025,8
3,7,1561.9315425,2
3,8,480.7806025,3
4,8,480.7806025,2
6,8,751.0683375000001,6
4,7,751.0683375000001,1
2,1,210.4928675,2
3,10,751.0683375000001,2
6,12,751.0683375000001,1
3,7,1832.2192774999999,2
4,7,2643.0824825,1
6,11,751.0683375000001,2
3,8,751.0683375000001,3
2,11,751.0683375000001,7
4,7,2372.7947475,1
2,7,751.0683375000001,5
2,7,2372.7947475,1
5,12,480.7806025,1
2,10,751.0683375000001,1
4,11,751.0683375000001,5
3,10,1021.3560725000001,2
6,7,1021.3560725000001,7
2,7,1021.3560725000001,3
3,10,1291.6438075,2
2,12,210.4928675,4
6,1,210.4928675,5
3,7,480.7806025,2
6,10,480.7806025,1
4,8,751.0683375000001,2
2,9,480.7806025,2
4,12,480.7806025,3
6,11,1021.3560725000001,2
3,7,1291.6438075,2
2,8,751.0683375000001,5
2,7,2643.0824825,1
2,8,480.7806025,6
2,10,210.4928675,2
3,7,1021.3560725000001,4
5,10,1021.3560725000001,2
6,8,480.7806025,4
6,7,751.0683375000001,1
6,0,751.0683375000001,1
4,1,480.7806025,1
5,11,480.7806025,2
4,11,1021.3560725000001,3
5,7,751.0683375000001,2
2,12,480.7806025,4
6,0,210.4928675,6
6,12,210.4928675,2
5,8,480.7806025,2
3,11,480.7806025,1
4,7,480.7806025,5
6,1,480.7806025,2
6,10,1021.3560725000001,1
2,7,480.7806025,6
3,7,2372.7947475,1
5,8,751.0683375000001,2
5,1,480.7806025,2
6,7,1291.6438075,6
4,10,210.4928675,2
2,10,480.7806025,1
5,7,1561.9315425,2
3,7,2643.0824825,1
5,10,210.4928675,1
2,7,1832.2192774999999,4
4,9,480.7806025,2
3,12,480.7806025,2
5,10,751.0683375000001,1
6,7,1561.9315425,3
5,7,480.7806025,5
6,10,1291.6438075,1
6,10,210.4928675,2
5,11,1021.3560725000001,4
3,9,480.7806025,6
3,10,210.4928675,2
2,11,480.7806025,1
4,1,210.4928675,2
5,9,480.7806025,2
